	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
A1BG	139.0	11.3	43.6	11.0	11.3	27.2	8.9	12.3	107.8	1.8	22.89786706377178	5.4	54.5	2.6	4.0	21.4	292.2	1291.0	4.6	7.9	271.1	6.132619250597458	10.9	18.6	347.0	36.5	10.9	5.4	97.6	24.3	32.3	5.5	315.5	30.6	4.9	12.8	683.8	8.9	21.1	4.5
AACT	178.5	36.2	55.7	58.9	139.1	123.6	37.3	52.0	124.7	38.1	25.6	56.1	182.4	26.6	20.6	100.4	223.3	88.8	57.4	65.6	443.5	46.8	25.4	50.4	147.4	50.2	101.1	77.4	162.9	49.5	37.4	23.1	301.2	30.2	25.4	53.1	461.2	58.3	47.2	117.3
AGRIN	70.8	27.5	62.1	224.4	57.9	33.7	125.6	231.6	87.1	4.1	68.5	215.7	40.8	57.2	81.8	188.6	89.1	164.7	93.9	117.5	146.7	32.8	2.4	125.2	33.0	58.5	18.9	104.6	127.0	45.6	123.5	88.9	188.5	54.0	87.7	170.3	171.8	36.7	90.1	250.8
ANXA5	111.3	48.4	26.3	52.9	100.4	23.3	26.8	90.3	118.1	16.5	21.5	26.3	204.3	49.4	16.0	44.2	313.5	21.8	31.3	44.1	872.9	82.5	21.6	74.5	49.0	27.6	121.0	95.1	60.5	44.0	17.2	46.9	152.1	10.5	24.0	252.6	318.5	23.7	83.0	236.2
ASPN	284.8	150.2	7.3	4.2	134.0	54.0	68.5	4.0	544.2	47.8	83.4	4.530312882300008	421.2	92.4	12.4	2.4	109.2	26.8	21.6	12.9	56.7	231.1	87.8	6.6	453.1	44.0	69.9	16.9	177.6	60.3	24.0	5.7	161.0	76.9	51.7	4.759671617157631	85.4	126.8	183.6	4.839737699733059
B2MG	169.2	26.6	61.0	70.7	70.9	83.3	43.4	25.0	86.0	37.4	62.3	11.2	117.6	30.9	9.8	47.9	152.5	61.0	52.6	205.0	190.1	42.0	21.5	29.4	106.7	78.1	57.0	109.1	186.7	78.1	105.6	22.2	379.8	64.6	54.9	75.5	698.7	83.3	130.1	62.1
CMA1	369.7	4.2	1.0	61.5	429.6	68.1	11.2	72.3	179.9	148.0	93.1	55.0	315.0	3.0	3.2	85.3	377.3	2.2	7.3	21.3	268.5	89.9	4.4150374646463275	56.2	101.7	6.5	131.7	43.4	127.4	1.6	2.9	117.3	94.5	2.9	3.4	38.5	409.0	142.6	35.75592293228635	53.5
CNN2	92.5	83.2	62.3	123.5	97.5	76.1	84.1	71.3	45.6	134.2	145.6	74.7	163.1	153.4	70.9	97.1	66.0	26.4	43.5	101.1	126.1	162.5	123.4	114.7	88.6	64.3	198.6	87.9	96.5	122.2	75.2	79.9	115.7	141.5	106.9	115.9	109.4	53.3	102.5	102.6
CO3A1	137.3	158.8	46.0	21.7	213.8	50.7	47.9	51.1	292.8	145.2	59.2	33.8	230.0	185.0	62.4	24.9	182.9	39.2	42.1	35.3	174.9	130.0	47.3	13.0	143.8	39.5	140.7	30.0	116.0	56.2	73.7	30.9	177.2	78.8	89.0	36.3	118.0	355.5	61.0	28.0
CO9	236.8	34.3	19.2	5.7	221.8	15.3	26.2	3.6	265.0	25.4	21.6	3.6	207.5	105.4	17.0	8.5	539.7	27.7	39.8	4.5	320.3	27.1	10.8	15.2	381.5	15.1	25.4	19.4	396.6	11.0	70.5	5.4	333.3	11.9	25.6	7.8	356.6	91.9	43.0	3.0
CRAC1	187.6	33.1	5.0	28.1	106.0	61.0	13.5	45.3	186.5	55.2	22.9	28.0	196.8	19.2	24.7	52.3	241.1	73.5	11.3	17.1	722.5	55.2	59.7	10.2	186.1	38.6	142.4	29.0	180.5	26.6	24.5	5.9	308.8	27.4	30.0	65.0	370.7	243.3	27.8	37.6
CSPG2	243.5	32.3	29.7	92.5	221.0	133.5	47.5	93.3	156.8	114.9	69.1	69.6	319.0	22.9	39.9	96.0	206.2	57.8	58.7	128.7	255.6	45.6	22.0	77.4	89.8	83.8	120.3	109.2	95.3	16.4	24.0	91.0	136.4	101.3	26.1	129.7	128.8	71.4	25.0	118.0
DAG1	190.2	46.4	26.5	38.1	49.8	337.5	27.1	40.4	194.1	71.1	41.5	8.1	201.8	17.2	79.5	31.8	79.7	49.3	35.3	55.3	252.2	17.6	81.4	108.1	114.2	58.4	558.6	23.5	202.6	24.5	62.5	46.6	187.2	72.5	36.2	87.6	120.6	157.0	74.9	93.3
DEF1	262.6	33.1	24.5	35.1	158.3	97.9	26.4	15.4	453.3	20.7	22.4	11.5	212.6	20.9	35.0	46.6	262.3	105.8	20.9	28.1	674.4	28.1	13.2	16.9	80.1	25.5	30.1	52.9	135.9	41.4	24.3	33.7	292.1	15.5	26.0	26.7	345.4	167.8	49.9	26.7
DERM	198.6	26.1	28.4	46.0	147.3	179.9	70.4	45.0	317.1	17.9	38.9	16.8	165.6	20.8	43.1	82.7	206.2	296.4	38.6	57.0	508.5	26.3	5.0	61.3	66.1	39.3	44.9	99.4	141.8	50.4	67.4	81.9	202.4	49.5	49.3	61.3	132.6	51.4	106.8	111.7
EMIL1	377.8	88.3	8.8	10.8	191.6	56.3	39.1	11.5	442.5	55.2	24.6	5.5	343.6	34.0	65.7	10.6	172.2	68.4	32.1	10.6	400.8	57.5	33.4	7.1	107.5	23.5	32.9	24.6	116.5	22.1	24.6	8.3	286.8	19.5	22.4	9.4	237.6	471.7	29.9	14.6
FGL2	33.2	99.3	150.5	33.4	71.9	94.2	73.0	45.9	31.6	108.6	128.9	60.7	38.7	396.1	116.5	23.5	24.0	489.3	53.8	38.7	46.9	45.4	117.5	19.7	48.7	232.2	154.2	48.7	68.1	184.9	87.5	39.9	51.9	166.8	152.7	54.0	53.2	112.4	164.5	38.8
FIBA	95.8	84.8	118.1	50.4	88.9	188.2	20.3	113.4	151.4	18.4	51.29151274204217	16.1	91.6	23.8	99.6	136.7	103.0	586.4	67.4	68.8	251.4	47.7	31.3	21.2	89.3	86.2	61.7	20.8	184.5	101.1	108.0	32.6	222.9	36.9	61.6	52.3	225.5	167.9	45.4	28.6
FIBB	194.2	77.4	18.894602416216078	17.4	270.0	37.6	12.3	13.7	282.1	40.3	7.7	1.5	84.7	28.5	40.5	9.7	273.5	28.1	7.6	2.8	432.8	80.1	11.1	22.6	89.0	17.2	91.8	15.2	385.4	13.3	27.5	13.5	687.1	15.1	18.6	34.7	443.5	139.0	1.7	31.5
FIBG	250.6	78.0	89.1	77.2	124.9	37.3	65.7	114.8	64.0	28.5	50.0	87.5	193.0	96.6	54.1	100.8	296.1	44.4	75.6	128.5	259.6	52.8	16.6	7.2	198.4	57.2	56.1	31.1	116.8	76.8	79.6	63.7	132.4	45.0	77.7	120.3	185.3	250.4	70.6	45.7
FINC	11.2	34.0	36.5	530.3	14.2	43.5	74.6	269.9	47.3	49.9	37.4	268.3	24.1	23.2	93.0	219.0	36.0	16.2	53.6	411.0	62.7	9.4	40.5	116.9	8.8	16.0	17.7	106.6	41.5	16.6	32.7	267.9	72.1	32.6	95.2	465.0	46.8	11.8	114.9	131.2
GDF10	66.9	106.5	114.8	134.1	98.5	26.1	62.0	99.3	67.2	40.3	67.2	160.9	56.7	77.1	38.6	123.5	52.9	140.2	80.2	94.0	44.6	34.6	16.5	142.6	115.7	101.4	32.9	236.9	157.3	140.8	84.9	146.9	92.5	85.4	212.7	148.4	114.0	56.8	141.4	186.4
HS71B	61.7	30.9	92.6	267.2	6.7	58.8	108.2	111.1	55.3	9.6	123.4	216.0	16.4	75.8	88.8	223.2	4.2	11.9	108.5	268.8	9.0	60.2	158.2	84.3	27.4	38.2	41.9	359.1	16.6	45.1	219.0	209.1	35.7	62.9	151.4	157.1	18.1	53.3	63.0	251.3
HSPB1	128.3	16.7	22.5	209.3	29.3	58.5	12.6	452.1	36.5	69.1	65.1	295.4	58.1	10.5	45.5	270.9	63.0	1.7	37.7	150.2	47.0	62.9	15.3	324.6	14.1	8.0	24.1	114.5	18.4	5.0	21.5	185.6	37.9	6.1	48.6	352.1	32.1	33.4	33.7	582.0
ILEU	197.9	99.1	34.1	9.3	59.1	80.0	19.5	6.2	205.5	63.3	11.9	3.7	119.0	251.2	69.5	13.8	172.8	94.5	66.5	4.1	184.1	64.4	54.7	62.0	377.4	88.8	74.2	79.9	200.1	119.1	11.0	7.1	476.4	84.2	21.2	12.0	263.7	221.2	12.8	4.7
ITIH1	65.5	103.5	91.6	107.3	61.3	111.6	93.1	114.0	57.8	145.5	89.4	85.4	52.8	203.7	84.8	75.8	53.2	27.6	114.8	106.1	59.4	153.0	151.5	102.6	51.5	77.6	194.4	129.8	56.4	90.3	72.1	89.0	82.6	124.2	195.5	146.2	54.3	119.7	82.7	122.2
LAMB2	349.7	19.2	21.9	96.7	35.6	65.0	62.7	260.2	177.7	102.9	55.9	281.3	119.1	77.00177001283109	60.272666268440084	74.3	187.5	16.7	29.7	114.3	132.4	93.3	80.8	36.5	56.8	82.2	87.9	128.5	86.7	67.07797319473309	27.2	121.2	117.6	91.8	51.9	203.1	246.4	62.8	67.9	154.6
LAMC1	395.0	33.0	15.1	31.0	178.9	62.9	45.2	36.3	364.4	53.1	35.2	18.7	404.5	18.1	27.8	32.8	390.5	31.5	28.0	46.3	293.8	70.1	15.9	52.7	223.5	21.0	105.7	58.2	112.7	15.5	11.3	36.8	290.2	19.9	27.3	48.5	260.6	55.4	7.5	25.2
LOXL3	94.3	86.3	197.7	81.7	10.5	68.7	94.5	54.1	146.7	61.2	75.0	24.8	49.4	400.2	79.1	47.2	29.5	160.0	77.8	48.3	63.7	44.2	93.6	35.6	53.5	250.8	69.5	68.7	134.9	118.7	33.7	43.1	173.7	233.3	144.5	163.0	49.8	113.9	196.5	28.4
LUM	474.3	44.0	23.0	18.2	210.4	19.6	26.9	29.5	237.7	45.1	24.4	33.7	52.5	84.5	28.1	27.743476932438508	169.9	43.9	16.8	29.799564460016377	630.6	73.0	87.7	4.7	81.7	58.5	93.3	33.5	140.3	107.0	32.5	35.4	387.3	34.6	31.2	70.1	418.2	66.1	31.8	28.007874701050817
LYOX	238.6	136.8	56.6	82.8	49.3	35.8	16.8	48.1	219.0	33.6	33.55715871672859	30.3	252.9	135.7	37.4	28.9	154.6	23.3	40.0	41.2	155.2	117.8	41.7	70.3	466.4	90.3	90.1	76.2	156.3	49.9	49.0	73.8	366.2	34.01399516647601	37.7	80.8	73.0	254.9	27.1	61.6
MFAP5	113.2	27.6	28.1	70.0	58.3	32.0	57.0	163.3	131.2	37.9	41.0	104.0	112.2	41.9	74.9	52.1	258.2	27.70500947123096	17.2	39.3	650.8	20.2	23.4	128.2	67.6	7.7	30.5	34.3	30.6	9.3	28.7	65.8	164.3	55.2	84.1	84.3	843.6	18.0	120.9	73.0
MIF	626.6	24.8	7.6	36.0	163.7	17.0	9.7	123.5	102.6	8.1	22.6	109.0	368.8	28.688176063918778	20.6	63.7	460.8	13.8	25.4	24.4	388.0	46.8	13.2	36.0	102.4	17.791946862761858	39.6	36.0	25.2	28.7	37.5	8.3	163.9	34.3	15.0	78.0	587.3	48.6	21.686991500308583	82.4
MUC18	367.9	11.1	11.679085285197383	17.5	86.2	60.1	56.4	13.3	453.2	8.9	13.9	7.6	178.5	6.4	10.4	22.1	423.9	92.8	14.3	9.3	202.9	13.8	18.5	18.1	299.5	5.1	88.9	48.5	219.6	19.681326036943524	27.2	25.2	730.7	13.7	4.2	18.3	356.9	21.9	11.4	21.9
NID1	361.3	44.4	44.9	33.4	145.3	13.0	45.6	33.4	129.3	35.0	82.1	44.7	269.0	90.2	40.4	37.8	274.6	49.8	72.2	35.1	319.8	27.0	38.8	11.2	337.6	34.5	20.0	46.8	102.4	47.4	55.3	20.9	214.3	22.1	46.9	44.1	393.3	240.9	47.5	48.0
PA2GA	205.1	35.0	14.4	16.4	242.7	34.2	34.9	13.8	480.8	66.1	42.9	12.2	388.9	38.4	38.3	14.3	175.2	11.9	20.8	12.4	485.9	64.6	20.7	8.0	209.8	10.5	57.6	15.5	268.8	28.6	27.8	15.5	379.7	23.6	23.1	22.3	250.5	141.3	31.9	15.5
PGCA	64.5	2.2	73.1	41.3	18.9	90.1	139.4	82.9	70.7	98.3	145.3	42.7	146.0	112.0	3.6	91.1	54.8	69.8	101.4	167.1	71.1	16.7	118.4	46.5	46.5	77.9	63.1	234.0	130.6	52.3	83.1	33.2	137.7	146.7	90.2	354.2	263.8	20.2	320.8	77.6
PGS1	437.2	51.0	10.4	57.7	203.9	204.5	57.0	48.0	303.2	64.9	129.6	51.1	443.1	14.7	13.1	45.5	285.9	2.1	37.7	52.1	179.9	137.3	77.6	37.7	121.5	0.9	175.7	82.0	65.1	11.9	43.1	59.0	89.0	113.9	15.3	35.7	61.9	152.1	87.64473345833031	27.7
PGS2	37.7	130.6	338.1	97.7	25.3	53.8	64.5	89.2	22.7	65.5	88.7	155.9	15.2	166.0	99.3	97.9	14.6	266.3	66.9	203.4	6.8	18.8	22.1	188.2	26.3	324.9	27.5	88.3	52.8	121.0	99.8	140.8	42.7	125.7	115.0	65.6	21.9	74.1	223.5	115.1
PLMN	44.5	120.0	284.2	83.1	30.2	60.0	69.8	85.8	22.5	80.2	116.6	141.9	17.0	173.3	103.3	87.5	19.1	490.0	65.9	158.9	8.1	18.3	29.3	145.4	21.8	312.2	30.0	71.0	57.0	103.0	104.9	123.8	37.8	127.3	102.5	64.4	21.5	78.4	199.9	89.7
S10A9	38.6	115.9	316.8	70.7	36.8	66.2	70.1	54.7	25.1	82.3	90.5	93.3	12.3	247.8	137.7	64.9	13.0	489.3	74.9	194.7	13.6	25.4	41.4	122.8	22.9	366.7	35.6	66.0	51.1	114.8	94.4	98.5	33.5	127.6	81.2	71.9	22.1	75.2	152.9	86.7
SCUB3	149.5	31.6	24.4	82.3	76.5	147.4	44.6	142.5	115.8	28.1	36.7	108.5	128.2	83.0	21.2	99.2	244.1	49.8	18.4	58.3	549.0	38.7	25.4	20.5	82.2	43.6	116.3	29.7	136.3	62.0	15.5	33.7	203.2	29.6	19.8	137.8	569.3	50.9	33.4	112.9
TAGL2	58.2	104.8	207.2	114.5	48.1	63.6	70.1	101.0	46.4	127.0	111.5	119.1	33.4	126.1	109.2	148.4	27.6	161.2	54.4	159.3	18.4	24.4	28.2	130.6	56.8	208.2	38.7	116.5	82.3	77.9	139.3	135.4	82.2	118.6	151.1	96.0	37.1	91.3	246.8	129.3
TARSH	35.6	90.7	174.4	19.2	144.4	73.8	107.0	25.4	80.6	115.0	168.4	31.6	176.1	273.0	120.7	17.4	39.1	90.7	41.2	21.1	116.8	63.0	122.4	24.4	68.8	162.0	209.2	39.3	78.5	202.7	127.0	23.4	78.7	161.8	184.1	31.4	59.9	74.6	314.4	12.2
THSD4	46.2	107.9	185.8	23.3	113.7	70.9	94.5	32.2	70.7	113.2	172.3	40.0	146.1	295.0	132.6	21.0	42.5	86.1	43.8	20.9	108.8	72.0	118.0	26.1	65.6	200.9	223.2	43.5	71.3	226.6	126.1	29.4	75.9	164.1	136.9	37.8	49.5	95.5	254.3	15.6
TIMP3	121.0	172.3	253.3	122.0	68.0	45.5	38.2	95.3	44.7	100.7	115.3	145.7	54.7	112.8	143.5	145.6	55.2	90.6	53.7	143.1	39.4	35.2	40.2	86.3	59.0	220.7	38.8	69.1	116.5	110.0	115.7	159.4	87.9	103.5	93.6	67.3	76.4	150.9	126.6	82.2
TRYB2	97.7	153.7	306.4	76.2	40.6	52.0	57.3	87.5	28.0	126.1	182.5	117.1	26.4	177.7	94.4	108.1	34.0	149.9	57.2	115.2	11.9	24.8	27.2	100.8	30.4	304.0	39.4	79.7	86.6	131.8	107.8	115.6	52.8	138.4	132.4	55.5	25.3	143.3	230.3	74.2
IGHM	3.1	284.0	357.1	94.1	38.027919021845804	11.5	42.3	118.0	11.8	41.9	130.9	107.8	2.7	163.7	100.9	70.5	2.4	219.9	22.2	150.1	3.0462613360420163	3.9	28.6	23.6	6.1	427.6	108.12758493362743	51.8	68.5	97.7	138.1	161.3	58.5	89.9	253.9	56.5	3.6	52.2	484.1	59.3
ITA8	367.9	216.8	77.2	46.5	153.3	43.1	49.6	40.2	70.9	202.5	69.7	46.1	78.8	284.6	64.5	52.3	88.0	57.4	56.9	29.9	180.9	60.1	93.7	51.1	21.2	60.1	45.3	22.9	64.3	129.0	88.7	19.5	60.9	27.4	27.4	23.4	142.2	696.5	28.4	61.0
PRDX5	50.0	28.6	26.6	203.0	28.2	63.3	18.1	557.0	46.5	114.0	41.9	429.6	45.6	24.7	45.8	169.4	23.6	11.4	22.9	106.5	50.1	68.5	21.4	317.8	16.6	16.2	91.2	103.6	32.2	13.8	16.7	118.7	46.1	16.0	51.7	518.1	37.3	30.2	39.4	337.9
TAGL	54.2	3.8	8.3	189.2	28.5	56.5	12.8	618.7	51.3	144.1	42.2	527.9	44.9	5.6	27.7	191.7	20.1	3.0	8.7	96.1	49.8	73.0	8.5	328.2	9.6	2.9	104.4	66.9	13.5	3.9	8.4	117.7	13.8	7.9	19.3	619.7	19.9	9.6	13.8	373.9
