UniProtID 1,UniProtID 2,DG (kJ/mol),pair
P01344,Q59EZ3,-44.92,"('P01344', 'Q59EZ3')"
O43157,P63000,-27.15,"('O43157', 'P63000')"
P12318,P01857,-18.97,"('P01857', 'P12318')"
Q07817,Q14457,-33.64,"('Q07817', 'Q14457')"
P35030,P05067,-57.76,"('P05067', 'P35030')"
P01116,O43924,-32.4,"('O43924', 'P01116')"
Q95460,P61769,-28.64,"('P61769', 'Q95460')"
P01892,P61769,-23.67,"('P01892', 'P61769')"
O94868,Q15811,-37.96,"('O94868', 'Q15811')"
P54727,P55036,-31.43,"('P54727', 'P55036')"
O14980,P61925,-46.87,"('O14980', 'P61925')"
Q92692,Q495A1,-31.22,"('Q495A1', 'Q92692')"
P01857,P12314,-48.14,"('P01857', 'P12314')"
P78324,Q08722,-35.04,"('P78324', 'Q08722')"
P01033,P08254,-61.78,"('P01033', 'P08254')"
P09622,O00330,-52.35,"('O00330', 'P09622')"
Q9NVR0,Q13618,-35.56,"('Q13618', 'Q9NVR0')"
Q15116,Q9BQ51,-49.34,"('Q15116', 'Q9BQ51')"
Q9P289,Q9BUL8,-49.81,"('Q9BUL8', 'Q9P289')"
P16471,P01236,-3.87,"('P01236', 'P16471')"
P08174,P01024,-29.97,"('P01024', 'P08174')"
P28482,Q15418,-32.75,"('P28482', 'Q15418')"
Q15468,O00444,-37.66,"('O00444', 'Q15468')"
P30530,Q14393-2,-66.49,"('P30530', 'Q14393-2')"
C5MK56,P61769,-23.26,"('C5MK56', 'P61769')"
P15529,P01024,-37.1,"('P01024', 'P15529')"
O94907,O75581,-41.96,"('O75581', 'O94907')"
P04233,P07711,-67.64,"('P04233', 'P07711')"
P61224,O00522,-37.03,"('O00522', 'P61224')"
P11926,P54368,-35.37,"('P11926', 'P54368')"
P29590,P63165,-33.31,"('P29590', 'P63165')"
P08069,P05019,-32.3,"('P05019', 'P08069')"
Q07011,P41273,-40.62,"('P41273', 'Q07011')"
O95750,Q86Z14,-38.37,"('O95750', 'Q86Z14')"
P61026,Q6ZW33,-17.83,"('P61026', 'Q6ZW33')"
P15813,P61769,-31.02,"('P15813', 'P61769')"
Q13772,P10275,-25.76,"('P10275', 'Q13772')"
Q96F46,Q16552,-50.12,"('Q16552', 'Q96F46')"
P21802,P05230,-39.58,"('P05230', 'P21802')"
P49841,O15169,-24.26,"('O15169', 'P49841')"
Q15561,P46937,-41.59,"('P46937', 'Q15561')"
P62837,Q96BH1,-38.76,"('P62837', 'Q96BH1')"
Q8NBP7,P01130,-34.09,"('P01130', 'Q8NBP7')"
P36894,P12643,-51.49,"('P12643', 'P36894')"
P25054,P35222,-49.87,"('P25054', 'P35222')"
Q8NFP4,Q8NFZ4,-54.01,"('Q8NFP4', 'Q8NFZ4')"
P52799,P54764,-38.46,"('P52799', 'P54764')"
Q15116,Q9NZQ7,-56.88,"('Q15116', 'Q9NZQ7')"
O19707,P01909,-30.62,"('O19707', 'P01909')"
Q13137,Q9H6S1,-34.03,"('Q13137', 'Q9H6S1')"
Q9UHB9,O76094,-35.27,"('O76094', 'Q9UHB9')"
Q9Y6N9,Q495M9,-25.28,"('Q495M9', 'Q9Y6N9')"
P20339,Q15075,-32.3,"('P20339', 'Q15075')"
P08253,P16035,-47.61,"('P08253', 'P16035')"
P30685,P61769,-37.75,"('P30685', 'P61769')"
P62942,P36897,-37.66,"('P36897', 'P62942')"
A6ND01,Q8IYV9,-40.47,"('A6ND01', 'Q8IYV9')"
P00533,Q9UJM3,-28.08,"('P00533', 'Q9UJM3')"
P04141,P15509,-43.8,"('P04141', 'P15509')"
Q92794,K7EMV3,-32.91,"('K7EMV3', 'Q92794')"
Q01344,P05113,-50.12,"('P05113', 'Q01344')"
Q16611,O43521,-44.98,"('O43521', 'Q16611')"
O95466,P60953,-32.15,"('O95466', 'P60953')"
Q70CQ3,P0CG47,-31.36,"('P0CG47', 'Q70CQ3')"
P07998,P13489,-89.3,"('P07998', 'P13489')"
P35968,P49767,-44.8,"('P35968', 'P49767')"
P07359,P04275,-46.24,"('P04275', 'P07359')"
O75496,P31274,-26.75,"('O75496', 'P31274')"
P32780,P29083,-39.22,"('P29083', 'P32780')"
Q9P289,Q9Y376,-40.25,"('Q9P289', 'Q9Y376')"
P10275,Q15596,-27.72,"('P10275', 'Q15596')"
P52272,Q92973,-44.25,"('P52272', 'Q92973')"
O00506,Q9BUL8,-39,"('O00506', 'Q9BUL8')"
P49841,Q92837,-42.58,"('P49841', 'Q92837')"
Q9BRG1,Q96FZ7,-33.02,"('Q96FZ7', 'Q9BRG1')"
Q30066,Q67AJ6,-22.45,"('Q30066', 'Q67AJ6')"
O14965,Q9ULW0,-38.76,"('O14965', 'Q9ULW0')"
P52803,P29320,-46.24,"('P29320', 'P52803')"
P69905,Q9NZD4,-40.41,"('P69905', 'Q9NZD4')"
Q9NZU0,Q9HAR2,-38.26,"('Q9HAR2', 'Q9NZU0')"
O60784,Q9UM54,-35.48,"('O60784', 'Q9UM54')"
P36888,P49771,-42.52,"('P36888', 'P49771')"
P00797,P01019,-44.21,"('P00797', 'P01019')"
O43291,P35030,-36.91,"('O43291', 'P35030')"
P30530,Q14393,-69.79,"('P30530', 'Q14393')"
P01579,P15260,-57.47,"('P01579', 'P15260')"
P83876,O60828,-27.04,"('O60828', 'P83876')"
Q9UBU8,Q9NV56,-41.51,"('Q9NV56', 'Q9UBU8')"
Q9Y5S9,P61326,-52.62,"('P61326', 'Q9Y5S9')"
Q15465,Q96QV1,-38.26,"('Q15465', 'Q96QV1')"
Q13618,O43791,-34.48,"('O43791', 'Q13618')"
P98170,P42574,-51.8,"('P42574', 'P98170')"
Q9Y490,P18206,-40.26,"('P18206', 'Q9Y490')"
Q6ZMJ4,P07333,-40.39,"('P07333', 'Q6ZMJ4')"
Q9Y6Y9,O00206,-55.92,"('O00206', 'Q9Y6Y9')"
Q03001,P16144,-25.04,"('P16144', 'Q03001')"
Q2YD98,P32780,-41.07,"('P32780', 'Q2YD98')"
Q07820,O43521,-50,"('O43521', 'Q07820')"
P00734,P05546,-39.88,"('P00734', 'P05546')"
Q9NS91,P0CG48,-27.13,"('P0CG48', 'Q9NS91')"
P28347,P46937,-34.03,"('P28347', 'P46937')"
P07858,P01040,-50,"('P01040', 'P07858')"
P0DP23,P56696,-36.53,"('P0DP23', 'P56696')"
P13861,Q06455,-41.23,"('P13861', 'Q06455')"
Q13485,P84022,-41.59,"('P84022', 'Q13485')"
O00213,P05067,-37.25,"('O00213', 'P05067')"
P12259,P00734,-32.82,"('P00734', 'P12259')"
P10515,Q15120,-34.09,"('P10515', 'Q15120')"
P12757,Q13485,-34.25,"('P12757', 'Q13485')"
Q12824,Q92922,-39.78,"('Q12824', 'Q92922')"
B4DV53,Q6PIF6,-33.64,"('B4DV53', 'Q6PIF6')"
Q9H9Q4,Q13426,-30.96,"('Q13426', 'Q9H9Q4')"
P54760,P52799,-42.52,"('P52799', 'P54760')"
P01563,Q6PJF2,-59.52,"('P01563', 'Q6PJF2')"
Q15796,Q13485,-37.52,"('Q13485', 'Q15796')"
Q13188,Q9H8S9,-39.8,"('Q13188', 'Q9H8S9')"
P63104,P15056,-54.49,"('P15056', 'P63104')"
Q12974,Q8NE01,-43.69,"('Q12974', 'Q8NE01')"
P08581,P14210,-51.27,"('P08581', 'P14210')"
P43146,Q9HD67,-36.07,"('P43146', 'Q9HD67')"
Q00722,P63000,-30.32,"('P63000', 'Q00722')"
Q9H492,Q9BQS8,-36.02,"('Q9BQS8', 'Q9H492')"
Q9HAU5,Q92900,-38.5,"('Q92900', 'Q9HAU5')"
Q96NI6,P23468,-37.64,"('P23468', 'Q96NI6')"
P18754,P62826,-66.68,"('P18754', 'P62826')"
Q8N2U3,P05067,-53.49,"('P05067', 'Q8N2U3')"
O75473,Q2MKA7,-50,"('O75473', 'Q2MKA7')"
P04637,Q92793,-24.72,"('P04637', 'Q92793')"
Q96RJ3,Q9Y275,-40.02,"('Q96RJ3', 'Q9Y275')"
Q86YP4,Q9UBB5,-45.44,"('Q86YP4', 'Q9UBB5')"
P61006,Q01968,-34.75,"('P61006', 'Q01968')"
P04637,P32780,-26.53,"('P04637', 'P32780')"
P15692,P0DOX5,-48.33,"('P0DOX5', 'P15692')"
Q13547,Q13330,-30.47,"('Q13330', 'Q13547')"
Q13478,Q14116,-41.16,"('Q13478', 'Q14116')"
Q9Y5L0,P62826,-47.86,"('P62826', 'Q9Y5L0')"
P08603,P01024,-38.76,"('P01024', 'P08603')"
P01138,P04629,-51.99,"('P01138', 'P04629')"
Q13137,P62987,-25.33,"('P62987', 'Q13137')"
P27540,Q99814,-22.53,"('P27540', 'Q99814')"
P06734,P01854,-34.03,"('P01854', 'P06734')"
P08637,P01857,-41.85,"('P01857', 'P08637')"
P81274,Q1MX18,-49.54,"('P81274', 'Q1MX18')"
O75899,Q9UBS5,-39.64,"('O75899', 'Q9UBS5')"
Q9ULU4,Q16643,-30.84,"('Q16643', 'Q9ULU4')"
O95931,Q99496,-46.19,"('O95931', 'Q99496')"
Q9UER7,P63165,-24.47,"('P63165', 'Q9UER7')"
P07766,P09693,-31.98,"('P07766', 'P09693')"
P54198,Q9Y294,-33.83,"('P54198', 'Q9Y294')"
P00533,Q6UW88,-31.91,"('P00533', 'Q6UW88')"
P01732,P06239,-34.75,"('P01732', 'P06239')"
P20338,Q59EY8,-29.39,"('P20338', 'Q59EY8')"
Q9NQW6,P61586,-29.52,"('P61586', 'Q9NQW6')"
P15018,P40189,-40.79,"('P15018', 'P40189')"
Q13952,P25208,-36.97,"('P25208', 'Q13952')"
P14735,P01308,-44.25,"('P01308', 'P14735')"
P08700,P26951,-39.38,"('P08700', 'P26951')"
Q9NPF0,P20062,-50.26,"('P20062', 'Q9NPF0')"
Q5U651,P61224,-34.75,"('P61224', 'Q5U651')"
P30307,P63104,-31.96,"('P30307', 'P63104')"
O94986,O00444,-43.07,"('O00444', 'O94986')"
Q15637,P26368,-40.67,"('P26368', 'Q15637')"
P55072,Q9BZE9,-55.74,"('P55072', 'Q9BZE9')"
Q96EP0,Q9H0F6,-31.22,"('Q96EP0', 'Q9H0F6')"
P39748,P12004,-41.51,"('P12004', 'P39748')"
Q9UHX1,Q96AE4,-27.9,"('Q96AE4', 'Q9UHX1')"
Q5Y7D3,P01909,-23.88,"('P01909', 'Q5Y7D3')"
P60953,Q15811,-36.33,"('P60953', 'Q15811')"
P55899,P61769,-51.29,"('P55899', 'P61769')"
P55957,Q07820,-37.33,"('P55957', 'Q07820')"
P23246,Q8WXF1,-35.98,"('P23246', 'Q8WXF1')"
Q07960,P60953,-36.85,"('P60953', 'Q07960')"
Q16637,O14893,-48.75,"('O14893', 'Q16637')"
Q16620,P34130,-55.09,"('P34130', 'Q16620')"
Q04912,P26927,-37.66,"('P26927', 'Q04912')"
P60604,Q9UKV5,-42.65,"('P60604', 'Q9UKV5')"
P02749,P01130,-24.93,"('P01130', 'P02749')"
P22692,P05019,-31.74,"('P05019', 'P22692')"
Q9UL25,Q9UJ41,-33.02,"('Q9UJ41', 'Q9UL25')"
O14763,P50591,-44.82,"('O14763', 'P50591')"
O95407,O43557,-44.76,"('O43557', 'O95407')"
P19235,P01588,-51.73,"('P01588', 'P19235')"
Q15843,Q96LD8,-38.5,"('Q15843', 'Q96LD8')"
Q13586,Q96D31,-20.17,"('Q13586', 'Q96D31')"
P0CG48,Q9UKV5,-26.7,"('P0CG48', 'Q9UKV5')"
Q9H1Y0,Q676U5,-29.66,"('Q676U5', 'Q9H1Y0')"
Q96BN8,Q96L92,-43.15,"('Q96BN8', 'Q96L92')"
P17948,P15692,-63.22,"('P15692', 'P17948')"
Q14974,O95149,-44.87,"('O95149', 'Q14974')"
P31785,P14784,-58.36,"('P14784', 'P31785')"
O43707,P18206-2,-50.29,"('O43707', 'P18206-2')"
O43921,P54764,-32.4,"('O43921', 'P54764')"
Q96CW9,Q9HBW1,-46.76,"('Q96CW9', 'Q9HBW1')"
B4DTM7,Q8IY67,-26.76,"('B4DTM7', 'Q8IY67')"
O43566,P63096,-42.22,"('O43566', 'P63096')"
P55036,P54725,-28.1,"('P54725', 'P55036')"
Q13459,P61586,-39.58,"('P61586', 'Q13459')"
Q69YH5,P62136,-35.11,"('P62136', 'Q69YH5')"
Q9Y6D6,P40616,-26.35,"('P40616', 'Q9Y6D6')"
Q9UNS1,P09874,-43.59,"('P09874', 'Q9UNS1')"
Q8N488,Q99496,-40.49,"('Q8N488', 'Q99496')"
Q15554,Q9NYB0,-44.73,"('Q15554', 'Q9NYB0')"
P11277,P02549,-36.77,"('P02549', 'P11277')"
Q99748,O00451,-38.26,"('O00451', 'Q99748')"
Q96CV9,Q9UHD2,-40.23,"('Q96CV9', 'Q9UHD2')"
Q9BS40,Q9UI42,-48.98,"('Q9BS40', 'Q9UI42')"
Q6Y7W6,O60573,-54.73,"('O60573', 'Q6Y7W6')"
Q09028,Q13330,-38.5,"('Q09028', 'Q13330')"
P10826,Q15788,-33.47,"('P10826', 'Q15788')"
P63104,P13569,-29.28,"('P13569', 'P63104')"
P36873,Q69YH5,-39.71,"('P36873', 'Q69YH5')"
Q8N300,Q7L8A9,-42.4,"('Q7L8A9', 'Q8N300')"
P62330,O60271,-36.65,"('O60271', 'P62330')"
Q9HCJ2,Q9Y2I2,-46.57,"('Q9HCJ2', 'Q9Y2I2')"
P02766,P02753,-35.04,"('P02753', 'P02766')"
Q9Y2H1,Q9H8S9,-28.22,"('Q9H8S9', 'Q9Y2H1')"
Q9UMF0,P20701,-27.01,"('P20701', 'Q9UMF0')"
Q96CB9,Q7Z6M4,-45.27,"('Q7Z6M4', 'Q96CB9')"
P63165,Q9P0U3,-35.08,"('P63165', 'Q9P0U3')"
P35030,P10646,-38.5,"('P10646', 'P35030')"
Q12802,P61586,-27.26,"('P61586', 'Q12802')"
Q96BN8,F5H265,-38.55,"('F5H265', 'Q96BN8')"
P09238,P16035,-47.34,"('P09238', 'P16035')"
Q92854,O43157,-30.23,"('O43157', 'Q92854')"
P57740,Q8WUM0,-48.27,"('P57740', 'Q8WUM0')"
H0Y755,P0DOX5,-49.44,"('H0Y755', 'P0DOX5')"
P01857,O75015,-33.16,"('O75015', 'P01857')"
P38919,Q9HCG8,-43.37,"('P38919', 'Q9HCG8')"
P07359,P00734,-40.76,"('P00734', 'P07359')"
P15374,P0CG47,-39.06,"('P0CG47', 'P15374')"
P01241,P10912,-54.42,"('P01241', 'P10912')"
Q00987,P62913,-33.5,"('P62913', 'Q00987')"
Q96AP0,Q9NUX5,-39.78,"('Q96AP0', 'Q9NUX5')"
O14944,P00533,-35.17,"('O14944', 'P00533')"
P15927,Q9NZC9,-31.83,"('P15927', 'Q9NZC9')"
P53365,P63000,-31.74,"('P53365', 'P63000')"
P06239,P01730,-36.77,"('P01730', 'P06239')"
P12643,Q6NW40,-40.55,"('P12643', 'Q6NW40')"
Q13541,O60573,-41.72,"('O60573', 'Q13541')"
O15085,P61586,-39.99,"('O15085', 'P61586')"
P36873,P46013,-38.59,"('P36873', 'P46013')"
P55081,Q8NAV1,-44.01,"('P55081', 'Q8NAV1')"
P37173,P10600,-37.57,"('P10600', 'P37173')"
Q9UBU8,Q96QT6,-45.52,"('Q96QT6', 'Q9UBU8')"
P26639,O60573,-32.22,"('O60573', 'P26639')"
Q9Y5Z4,Q07817,-25.2,"('Q07817', 'Q9Y5Z4')"
P11362,Q8WU20,-28.74,"('P11362', 'Q8WU20')"
P30460,P61769,-29.03,"('P30460', 'P61769')"
P17927,P01024,-32.88,"('P01024', 'P17927')"
Q9BQQ3,Q08379,-40.04,"('Q08379', 'Q9BQQ3')"
Q86WV6,Q9UHD2,-28.5,"('Q86WV6', 'Q9UHD2')"
P29460,Q9NPF7,-57.23,"('P29460', 'Q9NPF7')"
P05106,P06756,-46.19,"('P05106', 'P06756')"
Q01831,P32780,-39.33,"('P32780', 'Q01831')"
P61769,P30481,-24.77,"('P30481', 'P61769')"
Q8WZ42,Q5VST9,-32,"('Q5VST9', 'Q8WZ42')"
P21580,P0CG48,-29,"('P0CG48', 'P21580')"
P05230,P22607,-38.15,"('P05230', 'P22607')"
Q6UVW9,D3W0D1,-52.72,"('D3W0D1', 'Q6UVW9')"
